"Paperback | 800 pages",,"07 Jul 2008",TSO,"Stationery Office Books","Norwich United Kingdom",English,,,"Illustrations (some col.)",0117038628,9780117038622,
"Paperback | 109 pages",,"07 Jul 2008",TSO,"Stationery Office Books","Norwich United Kingdom",English,,,,0115601368,9780115601361,
"Hardback | 219 pages",,"01 Jan 1980","Taylor &amp; Francis Inc","M.E. Sharpe","Armonk United States",English,,,,0873321375,9780873321372,
"Hardback | 328 pages",,"30 Sep 1989","Taylor &amp; Francis Inc","M.E. Sharpe","Armonk United States","English Russian",,,,0873324951,9780873324953,
"Paperback | 1042 pages",,"01 Oct 2004","Spektrum Academic Publishers","Spektrum Akademischer Verlag (Germany)","Basingstoke United Kingdom",German,,"2004 ed.","colour illustrations bibliography",3827415233,9783827415233,
"Hardback | 224 pages","155.96 x 233.93mm","23 Mar 2017","Bloomsbury Publishing PLC","Continuum International Publishing Group Ltd.","London United Kingdom",English,,,,0567257126,9780567257123,
"Hardback | 350 pages","191 x 235mm | 788g","01 Dec 2016","Taylor &amp; Francis Inc","A K Peters","Natick United States",English,,,,1568813139,9781568813134,1631740
"Paperback | 120 pages","216 x 279mm","14 Mar 2017","Oro Editions","Goff Books","CA United States",English,,,"120 colour",193962116X,9781939621160,
"Paperback | 150 pages",,"30 Sep 2016","Momentum Press",,"NJ United States",English,,,,1606505688,9781606505687,
"Hardback | 192 pages","138 x 216mm","09 Feb 2017","Bloomsbury Publishing PLC","Continuum International Publishing Group Ltd.","London United Kingdom",English,,,,0567219089,9780567219084,
"Paperback | 836 pages",,"15 Nov 2006","American Society of Mechanical EngineersU.S.",,"Fairfield United States",English,,,,0791847470,9780791847473,
"Paperback | 208 pages","210 x 270mm","28 Jul 2016","Bloomsbury Publishing PLC","Bloomsbury Academic","London United Kingdom",English,,,"200 colour illus",1472579313,9781472579317,
"Hardback | 192 pages","138 x 216mm","27 Apr 2017","Continuum Publishing Corporation",,"New York United States",English,,,,1441111883,9781441111883,
"Hardback | 232 pages",,"01 Nov 1981","The University of Alabama Press",,"Alabama United States",English,,,,0817300619,9780817300616,
"Hardback | 183 pages",,"01 Sep 2014","Springer Science+Business Media","Plenum Publishing Co.N.Y.","United States",English,,1978,"X 173 p.",0306359049,9780306359040,
"Hardback | 364 pages",,"30 Jun 1981","Kluwer Academic Publishers Group","Kluwer Academic / Plenum Publishers","Dordrecht Netherlands",English,,,"Illustrations 1form",0306404842,9780306404849,
"Paperback | 512 pages",,"10 Oct 2016","John Wiley and Sons Ltd","Wiley-Blackwell (an imprint of John Wiley &amp; Sons Ltd)","Chicester United Kingdom",English,Revised,"5th Revised edition",,1405129336,9781405129336,
"Hardback | 288 pages","152 x 229mm","22 Jul 2014","The Perseus Books Group","Da Capo Press Inc","Cambridge MA United States",English,,,,0306818493,9780306818493,
"Hardback | 336 pages",,"01 Apr 1987","Springer-Verlag New York Inc.",,"New York NY United States",English,,,,0387965041,9780387965048,
"Paperback | 192 pages","127 x 197mm | 505g","10 Feb 2016","Verso Books",,"London United Kingdom",English,,,,1844672247,9781844672240,
"Hardback | 864 pages","103 x 165mm | 397g","28 Sep 2006","Bloomsbury Publishing PLC","Tottel Publishing","Haywards Heath United Kingdom",English,,,,1845923081,9781845923082,
"Hardback | 2240 pages","153 x 240mm | 1616g","20 Jun 2006","Bloomsbury Publishing PLC","Tottel Publishing","Haywards Heath United Kingdom",English,,,,1845922840,9781845922849,
"Hardback | 148 pages","180 x 240mm | 420g","01 Jun 1984","Birkhauser Verlag AG",,"Basel Switzerland",German,,,d.figs.tabs.,3764315806,9783764315801,
"Paperback | 338 pages",,"01 Jan 2010","Moyer Bell Ltd U.S.",,"Wakefield United States",English,,,,1559213485,9781559213486,
"Hardback | 212 pages","152 x 229mm","19 Jul 2016","Taylor &amp; Francis Ltd",,"London United Kingdom",English,,,"20 black &amp; white halftones",0415823005,9780415823005,
"Paperback | 224 pages","134 x 216 x 25mm","30 Jun 2017","I.B.Tauris &amp; Co Ltd",I.B.Tauris,"London United Kingdom",English,,,"3 maps",1848858507,9781848858503,2191722
"Paperback | 256 pages","178 x 235mm | 505g","11 Feb 2017","Pearson Education (US)","Prentice Hall","Upper Saddle River United States",English,,,,0131589296,9780131589292,
"Paperback | 452 pages","139 x 215mm","01 Jan 2010","Moyer Bell Ltd U.S.",,"Wakefield United States",English,Revised,"Revised ed.",,1559213590,9781559213592,
"Hardback | 1280 pages",,"31 Mar 2017","Boydell &amp; Brewer Ltd","The Boydell Press","Woodbridge United Kingdom",English,,,,184383653X,9781843836537,
"Hardback | 224 pages","152 x 229mm","22 Dec 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,0415633389,9780415633383,
"Paperback | 336 pages",,"29 Nov 2002","Renouf Pub Co Ltd","European Communities","Luxembourg United Kingdom",English,,,tabs.,9289500166,9789289500166,
"Hardback | 368 pages","156 x 234mm | 788g","12 Dec 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"14 black &amp; white illustrations 14 black &amp; white halftones",0415499372,9780415499378,
"Paperback | 230 pages","140 x 216 x 28mm","20 Dec 2020","Palgrave USA","Palgrave MacMillan","Gordonsville United States",English,,,biography,0312293283,9780312293284,
"Paperback | 302 pages","138 x 216mm","31 Dec 2014","UNIVERSITY OF EXETER PRESS","Bristol Phoenix Press","Exeter United Kingdom",English,,,,1904675573,9781904675570,
"Mixed media product | 50 pages",,"14 Feb 1997","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. KG","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. K","Berlin Germany",English,,"2nd edition",,3540145842,9783540145844,
"Paperback | 275 pages","127 x 203mm","01 Dec 2019","Elsevier Health Sciences","Butterworth-Heinemann Ltd","London United Kingdom",English,,,"tables figures algorithms",0750699574,9780750699570,
"Paperback | 602 pages",,"31 May 1999","SPIE Press",,"Bellingham United States",English,Illustrated,"illustrated edition",index,0819429635,9780819429636,
"Hardback | 304 pages","150 x 250mm | 788g","24 May 2017","John Wiley and Sons Ltd","John Wiley &amp; Sons Ltd","Chichester United Kingdom",English,,"2nd Revised edition",,047037974X,9780470379745,
"Hardback | 176 pages","124 x 210 x 22mm","30 Jun 1965","Southern Illinois University Press",,"Carbondale United States",English,,,,0809301776,9780809301775,
"Paperback | 150 pages","155 x 235mm","09 Dec 2016","Springer International Publishing AG",,"Cham Switzerland",English,,"2016 ed.","60 black &amp; white illustrations 10 colour illustrations",3319032267,9783319032269,
"Paperback | 120 pages",,"30 Nov 2011","Food &amp; Agriculture Organization of the United Nations (Fao)",,"Rome Italy",English,,,"col. Illustrations",9251068089,9789251068083,
"Hardback | 416 pages","171 x 246mm | 788g","20 Jul 2016","Oxford University Press",,"Oxford United Kingdom",English,,,,019968572X,9780199685721,
"Hardback | 342 pages","152 x 229mm","28 Feb 2017","William Andrew Publishing",,"Norwich United States",English,,,,1455731447,9781455731442,
"Hardback | 248 pages",,"01 Dec 2005","Krieger Publishing Company",,"Melbourne FL United States",English,,,"Illustrations (some col.) maps (some col.)",1575242524,9781575242521,2122953
"Paperback | 134 pages","150 x 230mm","01 Aug 1986","University Press of America",,"Lanham MD United States",English,,"New edition",tabs.,0819155438,9780819155436,
"Hardback | 96 pages","216 x 279mm","08 Sep 2005","Cornwall Editions Limited",,"Cornwall United Kingdom",English,,,"col. Illustrations maps ports.",1904880126,9781904880127,
"Paperback | 416 pages","140 x 210mm | 505g","01 Mar 2017","Oxford University Press Inc",,"New York United States",English,,,,0195170040,9780195170047,
"Paperback | 96 pages",,"25 Nov 1999","Mustang Publishing Company (TN)",,"United States",English,Revised,Revised,,0914457969,9780914457961,
"Hardback | 525 pages","160 x 250mm","01 Sep 1986","Garnet Publishing Ltd","Ithaca Press","Reading United Kingdom",English,,,20ch.8M.,0863720617,9780863720611,
"Paperback | 128 pages","216 x 305mm","01 Apr 2009","Lancer International",,"New Delhi India",English,,,,8170621631,9788170621638,
"Paperback | 512 pages","189 x 246 x 20mm","01 Jan 2019","Cengage Learning Inc","Wadsworth Publishing Co Inc","Belmont CA United States",English,,,,0827370717,9780827370715,
"Hardback | 256 pages","168 x 244mm","30 Aug 2019","John Wiley and Sons Ltd",Wiley-Blackwell,"Hoboken United States",English,,,,0470862823,9780470862827,
"Hardback | 272 pages","155 x 235mm | 540g","30 Mar 1998","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. KG","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. K","Berlin Germany",English,,,"68 black &amp; white illustrations 45 black &amp; white tables biography",3540640649,9783540640646,
"Paperback | 148 pages",,"01 Jan 2001","Kagan Cooperative Learning","Kagan Publishing","California United States",English,,,,1879097648,9781879097643,
"Paperback | 144 pages",,"30 Jun 1996","B Jain Publishers Pvt Ltd",,"New Delhi India",English,,,,8170214661,9788170214663,
"Paperback | 320 pages","140 x 210mm","07 Oct 2016","WW Norton &amp; Co",,"New York United States",English,,Reprint,,0393353389,9780393353389,
"Paperback | 175 pages",,"15 Jun 2015","Business Expert Press",,"Sterling Forest United States",English,,,,1606492985,9781606492987,
"Paperback | 748 pages","140 x 216mm","31 Mar 2016","Cambridge Library Collection","CAMBRIDGE UNIVERSITY PRESS","Cambridge United Kingdom",English,,,"130 b/w illus.",110807118X,9781108071185,
"Paperback | 656 pages","140 x 216mm","01 Dec 2016","Cambridge Library Collection","CAMBRIDGE UNIVERSITY PRESS","Cambridge United Kingdom","English French",,,"black &amp; white illustrations",110808074X,9781108080743,
"Hardback | 210 pages","152 x 229mm","07 Feb 2017","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138843687,9781138843684,
"Paperback | 142 pages",,"30 Jun 2003","B Jain Publishers Pvt Ltd",,"New Delhi India",English,,,,817021209X,9788170212096,
"Hardback | 500 pages","155 x 235mm","15 Jun 2019","Springer Verlag Singapore",,"Singapore Singapore",English,,"2017 ed.","15 black &amp; white illustrations 15 colour illustrations biography",9812874461,9789812874467,
"Hardback | 500 pages","155 x 235mm","07 Jul 2018","Springer Verlag Singapore",,"Singapore Singapore",English,,,"15 black &amp; white illustrations 15 colour illustrations biography",9812873589,9789812873583,
"Paperback | 550 pages","152.4 x 241.3mm | 453.59g","30 May 2009","VUB University Press",,Belgium,English,,,,9054874651,9789054874652,
"Hardback | 96 pages",,"01 Jul 2005","Facts on File Inc",,"New York United States",English,,,,0816065330,9780816065332,
"Hardback | 120 pages","138 x 216mm | 788g","07 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,New.,,0415635268,9780415635264,
"Paperback | 138 pages",,"15 Oct 2007","World Trade Organization",,"Geneva Switzerland","English Spanish",,,,9287034001,9789287034007,
"Paperback | 212 pages","120 x 180mm","30 Jun 2001","B Jain Publishers Pvt Ltd",,"New Delhi India",English,,,,817021050X,9788170210504,
"Paperback | 122 pages",,"30 Jun 2003","B Jain Publishers Pvt Ltd",,"New Delhi India",English,,,,8170217245,9788170217244,
"Paperback | 208 pages","153 x 203mm","30 Mar 2014","The Chinese University Press",,"Hong Kong Hong Kong",English,,,,9629966115,9789629966119,
"Paperback | 98 pages","155 x 235mm | 453.59g","01 Oct 2002","UNSW Press",,"Sydney Australia",English,,,,0868404861,9780868404868,
"Hardback | 376 pages","174 x 246mm | 788g","01 Jul 2015","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,New.,"40 black &amp; white tables 10 black &amp; white halftones 50 black &amp; white line drawings",0415491002,9780415491006,
"Paperback | 154 pages","165 x 240mm","30 Jan 2009","Verlag Der Buchhandlung Walther Konig",,"Cologne Germany",English,,,"colour illustrations",3865603904,9783865603906,708580
"Paperback | 1 pages",,"31 Aug 2010","ROWMAN &amp; LITTLEFIELD","Bernan Press","Lanham United States",French,,,,1598884360,9781598884364,
"Paperback | 1088 pages","189 x 246 x 20mm","17 Feb 2014","Cengage Learning Inc","Delmar Cengage Learning","Clifton Park United States",English,Revised,"3rd Revised edition",,1285053125,9781285053127,
"Hardback | 448 pages","150 x 230mm","28 Feb 1988","AMS Press",,"New York United States",English,,,18ill.,0404625533,9780404625535,
"Hardback | 400 pages",,"28 Sep 2016","Imperial College Press",,"London United Kingdom",English,,,,1783267135,9781783267132,
"Hardback | 408 pages","156 x 234mm","21 Nov 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"5 black &amp; white illustrations 49 black &amp; white tables 5 black &amp; white line drawings",1472477731,9781472477736,
"Paperback | 320 pages","148 x 210mm | 505g","08 Dec 2016","Springer vs",,"United States",German,,"1. Aufl. 2016 ed.",,3531184229,9783531184227,
"Paperback | 288 pages","153 x 234mm","31 Aug 2012","Simon &amp; Schuster Ltd",,"London United Kingdom",English,,Export,"16pp colour plates",1471114287,9781471114281,1368245
"Paperback | 320 pages","140 x 210mm","10 Jan 2017","WW Norton &amp; Co",,"New York United States",English,,Reprint,,0393353354,9780393353358,
"Hardback | 488 pages","152 x 229mm","30 Jan 2016","SPIE Press",,"Bellingham United States",English,,,,1628415517,9781628415513,
"Paperback | 4 pages",,"30 Apr 2015","United Nations",,"New York United States","English Multiple languages","Multilingual edition",Multilingual,,9210710916,9789210710916,
"Paperback | 281 pages",,"08 Feb 2008","Food &amp; Agriculture Organization of the United Nations (Fao)",,"Rome Italy",English,,,,9251058725,9789251058725,
"Hardback | 288 pages","150 x 230mm","31 Jan 1980","Fordham University Press",,"New York United States",English,,,,0823208001,9780823208005,
"Hardback | 396 pages",,"01 Jun 1984","Kluwer Academic Publishers Group","Kluwer Academic / Plenum Publishers","Dordrecht Netherlands",English,,,biography,0306416379,9780306416378,
"Paperback | 89 pages",,"30 Sep 1982","Kluwer Law International",,"Zuidpoolsingel Netherlands",English,,,,9065440666,9789065440662,
"Hardback | 894 pages","155 x 240mm | 2360g","01 Oct 1983","Kluwer Law International",,"Zuidpoolsingel Netherlands",English,,,biography,9065440526,9789065440525,
"Paperback | 422 pages",,"30 Apr 2015","United Nations",,"New York United States","English Multiple languages","Multilingual edition",Multilingual,,9210711114,9789210711111,
"Paperback | 273 pages",,"14 Jul 2003","Renouf Pub Co Ltd","European Communities","Luxembourg United Kingdom",English,,,tabs.,9289602007,9789289602006,
"Hardback | 500 pages","190 x 235mm","28 Feb 2013","Morgan &amp; Claypool Publishers",,"San Rafael United States",English,,,,1608451895,9781608451890,
"Hardback | 500 pages","190 x 235mm","15 Feb 2013","Morgan &amp; Claypool Publishers",,"San Rafael United States",English,,,,1608453022,9781608453023,
"Hardback | 136 pages","138 x 216mm | 410g","26 May 2016","Taylor &amp; Francis Ltd","Psychology Press Ltd","Hove United Kingdom",English,,,,0415686709,9780415686709,
"Paperback | 540 pages",,"01 Dec 2013","John Wiley and Sons Ltd","John Wiley &amp; Sons Inc","New York United States",English,Revised,"3rd Revised edition",,0471735442,9780471735441,
"Paperback | 520 pages",,"01 May 2014","John Wiley and Sons Ltd","John Wiley &amp; Sons Inc","New York United States",English,Revised,"3rd Revised edition",,0471735469,9780471735465,
"Hardback | 352 pages",,"30 Jul 2006","John Wiley and Sons Ltd","John Wiley &amp; Sons Inc","New York United States",English,Revised,"3rd Revised edition",,0471735523,9780471735526,
"Hardback | 372 pages",,"01 Jan 1981",Springer,"Plenum Publishing Corporation",,English,,,,0306404222,9780306404221,
