"Hardback | 272 pages","185 x 240mm | 505g","30 Nov 2012","Carlton Books Ltd","Fiell Publishing Limited","London United Kingdom",English,,,"100 col",1906863474,9781906863470,1420330
"Hardback | 64 pages",,"31 Jan 1989","University of South Carolina Press",,"South Carolina United States",English,,,"illustrations maps",0872496023,9780872496026,
"Paperback | 400 pages","127 x 177.8mm | 505g","04 Jun 2013","Carlton Books",,"United States",English,,,"370 COLOUR &amp; B/W",1780972962,9781780972961,
"Hardback | 350 pages","171 x 246mm","30 Dec 2013","John Wiley and Sons Ltd","Wiley-Blackwell (an imprint of John Wiley &amp; Sons Ltd)","Chicester United Kingdom",English,Revised,"2nd Revised edition",,0631222472,9780631222477,
"Hardback | 3612 pages",,"31 Oct 2011",TSO,,"London United Kingdom",English,,,,0118405136,9780118405133,
"Paperback | 320 pages","152 x 228mm","01 Jun 2011","Fortress PressU.S.",,"United States",English,,2nd,,0800696603,9780800696603,1907758
"Paperback | 246 pages","150 x 230mm","30 Sep 1982","American Library Association","ALA Editions","Chicago IL United States",English,,,,0838903622,9780838903629,
"Hardback | 512 pages","168 x 220mm | 788g","16 Sep 2011","Anness Publishing","LORENZ BOOKS","London United Kingdom",English,,,"1700 colour photographs and illustrations",0754820718,9780754820710,1524921
"Hardback | 64 pages",,"31 Jan 1989","University of South Carolina Press",,"South Carolina United States",English,,,"illustrations maps",0872496023,9780872496026,
"Paperback | 246 pages","150 x 230mm","30 Sep 1982","American Library Association","ALA Editions","Chicago IL United States",English,,,,0838903622,9780838903629,
"Hardback | 192 pages","156 x 234mm","08 Aug 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,0415505240,9780415505246,
"Hardback | 192 pages","156 x 234mm","08 Aug 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,0415505240,9780415505246,
"Paperback | 478 pages","210 x 297mm","23 Jan 2001","European Agency for Safety and Health at Work",,"Bilbao Spain",English,,,Col.ill.figs.tabs.,929500700X,9789295007000,
"Hardback | 160 pages","152 x 229mm | 788g","01 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,0415659094,9780415659093,
"Paperback | 500 pages","203 x 254mm","01 Jan 2019","Pearson Education (US)","Prentice Hall","Upper Saddle River United States",English,Revised,"2nd Revised edition",,0136014666,9780136014669,1766581
"Hardback | 160 pages","152 x 229mm | 788g","01 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,0415659094,9780415659093,
"Hardback | 250 pages","155 x 235mm","15 May 2018",Springer,,"Dordrecht Netherlands",English,,"2018 ed.","3 black &amp; white illustrations 4 black &amp; white tables biography",9400713800,9789400713802,
"Paperback | 856 pages",,"06 May 2008","COUNCIL OF EUROPE",,"Strasbourg France",English,,,,9287161070,9789287161079,
